osm-id	version	latitudine	longitudine	road	house-number	suburb	district	city	county	state	post-code	country	cc	continent	amenity	brand	car	cu-code	cu-recharge	cu-state	elapsed-time	enel-name	enel-post-code	name	region	serial-number	usage-level	zona
4295717945	7	41.94563	12.553344	Via Ugo Ojetti				Roma			137	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000483	FINISHED	ACTIVE	0	Ojetti 2	137	ENEL_00000483	Lazio	N.11CP21T2B02C000107	0	Rome
4295717946	7	41.73014	12.275541	Lungomare Paolo Toscanelli				Roma			121	Italia	IT	European Union	charging_station	Enel	yes	EnEnergia_00000004	FINISHED	ACTIVE	0	Anco Marzio	0	EnEnergia_00000004	Lazio	N.13CP21T2B01H000004	0	Rome
4295717947	7	41.13591	16.773378	Viale Enzo Ferrari				Bari				Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000584	FINISHED	ACTIVE	0	aeroporto 02	70128	ENEL_00000584	Puglia	N.13EP21T2301H000004	0	Bari
4295717948	7	41.916668	12.502221	Viale Regina Margherita				Roma			198	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000307	FINISHED	ACTIVE	0	Regina Margherita 1	198	ENEL_00000307	Lazio	N.11CP21T2B01C000008	0	Rome
4295717949	7	41.904217	12.485635	Via Francesco Crispi				Roma			187	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000075	FINISHED	ACTIVE	0	Car Sharing - Crispi 1	0	ENEL_00000075	Lazio	N.10CP21T2B02A000048	0	Rome
4295717950	7	43.711647	10.397049	Via Francesco Crispi				Pisa			56125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000042	FINISHED	ACTIVE	0	via Crispi 72	0	ENEL_00000042	Tuscany	N.10EP21T2302A000010	0	Pisa
4295717951	7	41.93037	12.463533	Piazza Mancini				Roma			196	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000232	ACTIVE	ACTIVE	10000786	Mancini 2	196	ENEL_00000232	Lazio	N.11CP21T2B02C000092	0	Rome
4295717952	7	41.8676	12.494545	Via Antoniotto Usodimare				Roma			154	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000475	FINISHED	ACTIVE	0	Via Antoniotto Usodimare	154	ENEL_00000475	Lazio	N.11CP21T2B01C000023	0	Rome
4295718383	6	41.869125	12.495768	Via Cristoforo Colombo				Roma			154	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000482	ACTIVE	ACTIVE	2368795	Colombo 2	154	ENEL_00000482	Lazio	N.11CP21T2B01C000025	0	Rome
4295718387	5	44.49413	11.33997	Piazza Franklin Delano Roosvelt				Bologna			40123	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000532	FINISHED	ACTIVE	0	Roosevelt	0	ENEL_00000532	Emilia Romagna	N.12EP21T2301H000022	0	Bologna
